loc_rowid,hostname,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_bmassj,st_teff,st_mass,st_dist
9838,Kepler-1328,1,Transit,4.52158888,,,5780,1,813.543
9839,Kepler-1328,1,Transit,4.52158614,,,5647.55,1,813.543
9840,Kepler-1328,1,Transit,4.52158888,0.0535,,5941,1,813.543
9841,Kepler-1328,1,Transit,4.52158888,0.0535,,5941,1,813.543
9842,Kepler-1328,1,Transit,4.521577,0.054,,5927,1.01,813.543
9843,Kepler-1328,1,Transit,,,,5597,,813.543
9844,Kepler-1328,1,Transit,4.52158137,,,5647.55,1,813.543
9845,Kepler-1328,1,Transit,4.52158614,0.0529,,5576,0.96,813.543
9846,Kepler-1329,1,Transit,9.33646594,0.0747,,4442,0.64,588.037
9847,Kepler-1329,1,Transit,,,,4442,,588.037
9848,Kepler-1329,1,Transit,9.3365082,,,4469,0.7,588.037
9849,Kepler-1329,1,Transit,9.33646594,0.0747,,4442,0.64,588.037
9850,Kepler-1329,1,Transit,9.33648141,,,4469,0.7,588.037
9851,Kepler-1329,1,Transit,9.33648141,0.0747,,4442,0.64,588.037
9852,Kepler-1329,1,Transit,9.33646594,0.0747,,4442,0.64,588.037
9853,Kepler-1329,1,Transit,9.33646594,,,4500,0.72,588.037
9854,Kepler-1329,1,Transit,9.336445,0.074,,4445,0.62,588.037
9855,Kepler-1329,1,Transit,9.33655775,,,4469,0.7,588.037
9856,Kepler-133,2,Transit,,,,5712,,653.6
9857,Kepler-133,2,Transit,8.129976,0.083,,5736,,653.6
9858,Kepler-133,2,Transit,8.13000457,0.0791,,5588,1,653.6
9859,Kepler-133,2,Transit,8.12999858,0.0791,,5611,0.99,653.6
9860,Kepler-133,2,Transit,8.13000457,0.0791,,5588,1,653.6
9861,Kepler-133,2,Transit,8.12998341,,,5734.01,1.02,653.6
9862,Kepler-133,2,Transit,8.13000457,,,5730,1.04,653.6
9863,Kepler-133,2,Transit,8.12997425,,,5734.01,1.02,653.6
9864,Kepler-133,2,Transit,8.129858,0.08,,5600,1.02,653.6
9865,Kepler-133,2,Transit,8.13000457,0.0791,,5588,1,653.6
9866,Kepler-133,2,Transit,8.12999858,,,5734.01,1.02,653.6
9867,Kepler-133,2,Transit,31.517586,0.204,,5736,,653.6
9868,Kepler-133,2,Transit,,,,5712,,653.6
9869,Kepler-133,2,Transit,31.51779463,0.1951,,5611,0.99,653.6
9870,Kepler-133,2,Transit,31.51789,0.197,,5600,1.02,653.6
9871,Kepler-133,2,Transit,31.51779463,,,5734.01,1.02,653.6
9872,Kepler-133,2,Transit,31.51780202,0.1952,,5588,1,653.6
9873,Kepler-133,2,Transit,31.51780202,0.1952,,5588,1,653.6
9874,Kepler-133,2,Transit,31.5177783,,,5734.01,1.02,653.6
9875,Kepler-133,2,Transit,31.51780119,,,5734.01,1.02,653.6
9876,Kepler-133,2,Transit,31.51780202,0.1952,,5588,1,653.6
9877,Kepler-133,2,Transit,31.51780202,,,5730,1.04,653.6
9878,Kepler-1330,1,Transit,,,,5478,,1720.48
9879,Kepler-1330,1,Transit,10.10769068,0.0933,,5754,1.06,1720.48
9880,Kepler-1330,1,Transit,10.10691725,,,5470,0.96,1720.48
9881,Kepler-1330,1,Transit,10.107674,0.088,,5643,0.91,1720.48
9882,Kepler-1330,1,Transit,10.10769068,0.0933,,5754,1.06,1720.48
9883,Kepler-1330,1,Transit,10.10773789,,,5470,0.96,1720.48
9884,Kepler-1330,1,Transit,10.10769068,,,5608,0.97,1720.48
9885,Kepler-1330,1,Transit,10.10762919,,,5470,0.96,1720.48
9886,Kepler-1330,1,Transit,10.10769068,0.0933,,5754,1.06,1720.48
9887,Kepler-1330,1,Transit,10.10773789,0.0889,,5480,0.92,1720.48
9888,Kepler-1331,1,Transit,0.78916144,,,4224,0.66,319.197
9889,Kepler-1331,1,Transit,0.78916165,0.0142,,4258,0.61,319.197
9890,Kepler-1331,1,Transit,0.78916165,,,4508,0.72,319.197
9891,Kepler-1331,1,Transit,0.78916088,0.0142,,4258,0.61,319.197
9892,Kepler-1331,1,Transit,0.78916088,,,4224,0.66,319.197
9893,Kepler-1331,1,Transit,,,,4248,,319.197
9894,Kepler-1331,1,Transit,0.78916165,0.0142,,4258,0.61,319.197
9895,Kepler-1331,1,Transit,0.7891622,0.014,,4246,0.58,319.197
9896,Kepler-1331,1,Transit,0.78916165,0.0142,,4258,0.61,319.197
9897,Kepler-1332,1,Transit,11.87456832,0.0937,,5578,0.78,528.685
9898,Kepler-1332,1,Transit,,,,5581,,528.685
9899,Kepler-1332,1,Transit,11.87456832,0.0937,,5578,0.78,528.685
9900,Kepler-1332,1,Transit,11.87457664,,,5541.94,0.97,528.685
9901,Kepler-1332,1,Transit,11.87456832,,,5581,0.95,528.685
9902,Kepler-1332,1,Transit,11.87470071,,,5541.94,0.97,528.685
9903,Kepler-1332,1,Transit,11.87457664,0.0986,,5523,0.91,528.685
9904,Kepler-1332,1,Transit,11.874578,0.099,,5642,0.93,528.685
9905,Kepler-1332,1,Transit,11.87458418,,,5541.94,0.97,528.685
9906,Kepler-1332,1,Transit,11.87456832,0.0937,,5578,0.78,528.685
9907,Kepler-1333,1,Transit,109.6469948,0.4382,,5332,0.93,932.446
9908,Kepler-1333,1,Transit,109.64811,0.44,,5664,0.94,932.446
9909,Kepler-1333,1,Transit,109.6469948,,,5488.86,0.96,932.446
9910,Kepler-1333,1,Transit,109.6471842,,,5628,0.94,932.446
9911,Kepler-1333,1,Transit,109.6446573,,,5488.86,0.96,932.446
9912,Kepler-1333,1,Transit,109.6462783,,,5488.86,0.96,932.446
9913,Kepler-1333,1,Transit,109.6471842,0.4277,,5649,0.87,932.446
9914,Kepler-1333,1,Transit,109.6471842,0.4277,,5649,0.87,932.446
9915,Kepler-1333,1,Transit,109.6471842,0.4277,,5649,0.87,932.446
9916,Kepler-1333,1,Transit,,,,5319,,932.446
9917,Kepler-1334,1,Transit,15.64591713,0.1229,,5896,1.01,1223.04
9918,Kepler-1334,1,Transit,15.64588656,0.1229,,5896,1.01,1223.04
9919,Kepler-1334,1,Transit,15.64588656,,,5674,1.01,1223.04
9920,Kepler-1334,1,Transit,15.645864,0.122,,5866,1,1223.04
9921,Kepler-1334,1,Transit,15.64591713,0.1229,,5896,1.01,1223.04
9922,Kepler-1334,1,Transit,15.64591713,0.1229,,5896,1.01,1223.04
9923,Kepler-1334,1,Transit,15.646068,,,5674,1.01,1223.04
9924,Kepler-1334,1,Transit,15.64585493,,,5674,1.01,1223.04
9925,Kepler-1334,1,Transit,15.64591713,,,5614,0.94,1223.04
9926,Kepler-1334,1,Transit,,,,5891,,1223.04
9927,Kepler-1335,1,Transit,6.26404134,,,4830,0.78,621.853
9928,Kepler-1335,1,Transit,6.26407,0.06,,4969,0.72,621.853
9929,Kepler-1335,1,Transit,6.26404774,,,4830,0.78,621.853
9930,Kepler-1335,1,Transit,6.26406846,,,4903,0.77,621.853
9931,Kepler-1335,1,Transit,6.26404774,0.0615,,5032,0.79,621.853
9932,Kepler-1335,1,Transit,6.26406846,0.0615,,5032,0.79,621.853
9933,Kepler-1335,1,Transit,6.26406846,0.0615,,5032,0.79,621.853
9934,Kepler-1335,1,Transit,,,,5032,,621.853
9935,Kepler-1335,1,Transit,6.26406846,0.0615,,5032,0.79,621.853
9936,Kepler-1336,2,Transit,23.19897496,,,5449.27,0.95,1126.64
9937,Kepler-1336,2,Transit,23.19841872,,,5449.27,0.95,1126.64
9938,Kepler-1336,2,Transit,23.198681,,,5512,0.94,1126.64
9939,Kepler-1336,2,Transit,23.198681,0.157,,5717,0.96,1126.64
9940,Kepler-1336,2,Transit,23.1985852,,,5449.27,0.95,1126.64
9941,Kepler-1336,2,Transit,23.198681,0.157,,5717,0.96,1126.64
9942,Kepler-1336,2,Transit,23.19899,0.156,,5694,0.95,1126.64
9943,Kepler-1336,2,Transit,23.1985852,0.1595,,5416,1,1126.64
9944,Kepler-1336,2,Transit,23.198681,0.157,,5717,0.96,1126.64
9945,Kepler-1336,2,Transit,,,,5499,,1126.64
9946,Kepler-1336,2,Transit,5.77721259,0.0631,,5416,1,1126.64
9947,Kepler-1336,2,Transit,5.77721259,,,5449.27,0.95,1126.64
9948,Kepler-1336,2,Transit,5.77721211,0.0621,,5717,0.96,1126.64
9949,Kepler-1336,2,Transit,5.777213,0.062,,5694,0.95,1126.64
9950,Kepler-1336,2,Transit,5.77721211,,,5512,0.94,1126.64
9951,Kepler-1336,2,Transit,5.77721211,0.0621,,5717,0.96,1126.64
9952,Kepler-1336,2,Transit,,,,5499,,1126.64
9953,Kepler-1336,2,Transit,5.77721211,0.0621,,5717,0.96,1126.64
9954,Kepler-1336,2,Transit,5.77721551,,,5449.27,0.95,1126.64
9955,Kepler-1337,1,Transit,24.4002549,0.1441,,4583,0.67,601.629
9956,Kepler-1337,1,Transit,24.40015,0.142,,4575,0.64,601.629
9957,Kepler-1337,1,Transit,,,,4583,,601.629
9958,Kepler-1337,1,Transit,24.4002549,0.1441,,4583,0.67,601.629
9959,Kepler-1337,1,Transit,24.4002549,0.1441,,4583,0.67,601.629
9960,Kepler-1337,1,Transit,24.4003181,,,4415,0.69,601.629
9961,Kepler-1337,1,Transit,24.4002549,,,4523,0.7,601.629
9962,Kepler-1337,1,Transit,24.4004378,0.1441,,4583,0.67,601.629
9963,Kepler-1337,1,Transit,24.4004378,,,4415,0.69,601.629
9964,Kepler-1337,1,Transit,24.40020529,,,4415,0.69,601.629
9965,Kepler-1338,1,Transit,0.93511806,0.0188,,6002,1.01,753.26
9966,Kepler-1338,1,Transit,0.93511806,0.0188,,6002,1.01,753.26
9967,Kepler-1338,1,Transit,,,,5834,,753.26
9968,Kepler-1338,1,Transit,0.9351186,0.019,,5983,1,753.26
9969,Kepler-1338,1,Transit,0.93512001,,,5809,1.04,753.26
9970,Kepler-1338,1,Transit,0.93511806,,,5909,1.04,753.26
9971,Kepler-1338,1,Transit,0.93511586,0.0193,,5874,1.1,753.26
9972,Kepler-1338,1,Transit,0.93511586,,,5809,1.04,753.26
9973,Kepler-1338,1,Transit,0.93511806,0.0188,,6002,1.01,753.26
9974,Kepler-1339,1,Transit,1.34155513,,,5586,0.94,371.049
9975,Kepler-1339,1,Transit,,,,5874,,371.049
9976,Kepler-1339,1,Transit,1.3415609,0.023,,5516,0.85,371.049
9977,Kepler-1339,1,Transit,1.34155513,0.0233,,5738,0.94,371.049
9978,Kepler-1339,1,Transit,1.34155642,,,5590.19,0.99,371.049
9979,Kepler-1339,1,Transit,1.34155513,0.0233,,5738,0.94,371.049
9980,Kepler-1339,1,Transit,1.34155513,0.0233,,5738,0.94,371.049
9981,Kepler-1339,1,Transit,1.34155642,0.0234,,5779,0.94,371.049
9982,Kepler-1339,1,Transit,1.3415547,,,5590.19,0.99,371.049
9983,Kepler-134,2,Transit,5.317429,0.06,,5983,,334.797
9984,Kepler-134,2,Transit,5.31743542,0.0644,,6068,1.26,334.797
9985,Kepler-134,2,Transit,5.31744016,,,5819.72,1.05,334.797
9986,Kepler-134,2,Transit,5.31743542,0.0644,,6068,1.26,334.797
9987,Kepler-134,2,Transit,5.31743938,,,5819.72,1.05,334.797
9988,Kepler-134,2,Transit,5.31743542,0.0644,,6068,1.26,334.797
9989,Kepler-134,2,Transit,5.31743542,,,5983,1.06,334.797
9990,Kepler-134,2,Transit,5.317435,0.06,,5936,1.01,334.797
9991,Kepler-134,2,Transit,5.31743891,,,5819.72,1.05,334.797
9992,Kepler-134,2,Transit,5.31744016,0.059,,5923,0.97,334.797
9993,Kepler-134,2,Transit,,,,5918,,334.797
9994,Kepler-134,2,Transit,10.10575303,0.0988,,6068,1.26,334.797
9995,Kepler-134,2,Transit,10.10575764,0.0905,,5923,0.97,334.797
9996,Kepler-134,2,Transit,10.10575303,0.0988,,6068,1.26,334.797
9997,Kepler-134,2,Transit,10.1056726,,,5819.72,1.05,334.797
9998,Kepler-134,2,Transit,10.10575384,,,5819.72,1.05,334.797
9999,Kepler-134,2,Transit,10.10575303,0.0988,,6068,1.26,334.797
10000,Kepler-134,2,Transit,10.10575764,,,5819.72,1.05,334.797
10001,Kepler-134,2,Transit,10.105745,0.092,,5936,1.01,334.797
10002,Kepler-134,2,Transit,10.105785,0.092,,5983,,334.797
10003,Kepler-134,2,Transit,,,,5918,,334.797
10004,Kepler-134,2,Transit,10.10575303,,,5983,1.06,334.797
10005,Kepler-1340,1,Transit,0.66502594,0.0153,,5884,1.07,981.779
10006,Kepler-1340,1,Transit,,,,5909,,981.779
10007,Kepler-1340,1,Transit,0.66502594,,,6014,1.11,981.779
10008,Kepler-1340,1,Transit,0.66502692,,,6331,1.27,981.779
10009,Kepler-1340,1,Transit,0.66502692,0.0151,,5957,1.03,981.779
10010,Kepler-1340,1,Transit,0.66502709,,,6014,1.11,981.779
10011,Kepler-1340,1,Transit,0.66502692,0.0151,,5957,1.03,981.779
10012,Kepler-1340,1,Transit,0.66502692,0.0151,,5957,1.03,981.779
10013,Kepler-1340,1,Transit,0.6650251,0.015,,5931,1.01,981.779
10014,Kepler-1341,1,Transit,132.9955503,,,4511,0.71,476.957
10015,Kepler-1341,1,Transit,132.9955503,0.4498,,4523,0.69,476.957
10016,Kepler-1341,1,Transit,132.9968322,0.4516,,4530,0.69,476.957
10017,Kepler-1341,1,Transit,132.9968322,0.4516,,4530,0.69,476.957
10018,Kepler-1341,1,Transit,132.9968322,0.4516,,4530,0.69,476.957
10019,Kepler-1341,1,Transit,132.9970595,,,4511,0.71,476.957
10020,Kepler-1341,1,Transit,132.9955,0.445,,4535,0.66,476.957
10021,Kepler-1341,1,Transit,132.9968322,,,4662,0.79,476.957
10022,Kepler-1341,1,Transit,132.9956994,,,4511,0.71,476.957
10023,Kepler-1341,1,Transit,,,,4683,,476.957
10024,Kepler-1342,1,Transit,2.21571,0.033,,5214,0.99,890.724
10025,Kepler-1342,1,Transit,2.21571296,0.0313,,5417,0.83,890.724
10026,Kepler-1342,1,Transit,2.21571036,0.0313,,5417,0.83,890.724
10027,Kepler-1342,1,Transit,2.21572054,,,5250,0.9,890.724
10028,Kepler-1342,1,Transit,2.21571036,0.0313,,5417,0.83,890.724
10029,Kepler-1342,1,Transit,2.21571296,,,5250,0.9,890.724
10030,Kepler-1342,1,Transit,2.21571036,0.0313,,5417,0.83,890.724
10031,Kepler-1342,1,Transit,2.21571036,,,5527,0.93,890.724
10032,Kepler-1342,1,Transit,,,,5417,,890.724
10033,Kepler-1343,1,Transit,,,,6212,,1756.71
10034,Kepler-1343,1,Transit,3.35183158,0.0449,,6208,1.07,1756.71
10035,Kepler-1343,1,Transit,3.35183158,,,5759,0.95,1756.71
10036,Kepler-1343,1,Transit,3.35183158,0.0449,,6208,1.07,1756.71
10037,Kepler-1343,1,Transit,3.35184041,0.0449,,6198,1.07,1756.71
10038,Kepler-1343,1,Transit,3.35184041,,,5749,1.03,1756.71
10039,Kepler-1343,1,Transit,3.35183158,0.0449,,6208,1.07,1756.71
10040,Kepler-1343,1,Transit,3.351824,0.045,,6202,1.1,1756.71
10041,Kepler-1343,1,Transit,3.35184153,,,5749,1.03,1756.71
10042,Kepler-1344,1,Transit,4.76831033,0.0568,,6237,1.07,853.959
10043,Kepler-1344,1,Transit,4.7683049,0.0568,,6237,1.07,853.959
10044,Kepler-1344,1,Transit,4.76826326,,,5841.28,1.05,853.959
10045,Kepler-1344,1,Transit,4.76830227,,,5841.28,1.05,853.959
10046,Kepler-1344,1,Transit,4.76831033,,,5841.28,1.05,853.959
10047,Kepler-1344,1,Transit,4.768313,0.057,,5986,1.11,853.959
10048,Kepler-1344,1,Transit,4.7683049,0.0568,,6237,1.07,853.959
10049,Kepler-1344,1,Transit,,,,5815,,853.959
10050,Kepler-1344,1,Transit,4.7683049,0.0568,,6237,1.07,853.959
10051,Kepler-1344,1,Transit,4.7683049,,,5981,1.09,853.959
10052,Kepler-1345,1,Transit,44.6169557,,,6449,1.32,1355.02
10053,Kepler-1345,1,Transit,44.6169557,0.2638,,6763,1.24,1355.02
10054,Kepler-1345,1,Transit,44.61671591,,,6047.83,1.13,1355.02
10055,Kepler-1345,1,Transit,44.61710388,,,6047.83,1.13,1355.02
10056,Kepler-1345,1,Transit,44.6169557,0.2638,,6763,1.24,1355.02
10057,Kepler-1345,1,Transit,44.61731,0.27,,6774,1.31,1355.02
10058,Kepler-1345,1,Transit,44.616751,,,6047.83,1.13,1355.02
10059,Kepler-1345,1,Transit,44.616751,0.2638,,6763,1.24,1355.02
10060,Kepler-1345,1,Transit,44.6169557,0.2638,,6763,1.24,1355.02
10061,Kepler-1345,1,Transit,,,,6333,,1355.02
10062,Kepler-1346,1,Transit,,,,6186,,843.701
10063,Kepler-1346,1,Transit,3.40165617,,,5679.72,1.01,843.701
10064,Kepler-1346,1,Transit,3.40165668,0.044,,6177,0.98,843.701
10065,Kepler-1346,1,Transit,3.401648,0.046,,6215,1.11,843.701
10066,Kepler-1346,1,Transit,3.40165668,0.044,,6177,0.98,843.701
10067,Kepler-1346,1,Transit,3.40165668,0.044,,6177,0.98,843.701
10068,Kepler-1346,1,Transit,3.40163301,,,5679.72,1.01,843.701
10069,Kepler-1346,1,Transit,3.40165617,0.044,,6177,0.98,843.701
10070,Kepler-1346,1,Transit,3.40165668,,,6133,1.14,843.701
10071,Kepler-1347,1,Transit,14.00948631,,,5170.78,,
10072,Kepler-1347,1,Transit,14.00947528,0.104,,5153,0.76,
10073,Kepler-1347,1,Transit,14.009463,0.106,,5188,0.81,
10074,Kepler-1347,1,Transit,14.00948631,0.104,,5153,0.76,
10075,Kepler-1347,1,Transit,14.00940946,,,5170.78,,
10076,Kepler-1347,1,Transit,14.00947528,0.104,,5153,0.76,
10077,Kepler-1347,1,Transit,14.00947528,,,5193,0.82,
10078,Kepler-1347,1,Transit,14.00935988,,,5170.78,,
10079,Kepler-1347,1,Transit,14.00947528,0.104,,5153,0.76,
10080,Kepler-1348,1,Transit,27.5724,0.182,,6058,1.05,1213.82
10081,Kepler-1348,1,Transit,27.5722742,0.1716,,5977,0.89,1213.82
10082,Kepler-1348,1,Transit,27.5722144,0.1834,,5912,1.08,1213.82
10083,Kepler-1348,1,Transit,27.5722144,,,5866.85,1.06,1213.82
10084,Kepler-1348,1,Transit,27.5722742,0.1716,,5977,0.89,1213.82
10085,Kepler-1348,1,Transit,27.5722742,0.1716,,5977,0.89,1213.82
10086,Kepler-1348,1,Transit,27.5722742,,,5911,1.04,1213.82
10087,Kepler-1348,1,Transit,27.57173142,,,5866.85,1.06,1213.82
10088,Kepler-1348,1,Transit,,,,5911,,1213.82
10089,Kepler-1348,1,Transit,27.57182011,,,5866.85,1.06,1213.82
10090,Kepler-1349,1,Transit,2.12821621,,,5835.47,1.05,276.323
10091,Kepler-1349,1,Transit,2.12821621,0.0341,,5952,1.17,276.323
10092,Kepler-1349,1,Transit,2.1282478,0.033,,5998,1.01,276.323
10093,Kepler-1349,1,Transit,2.12823928,0.0338,,5998,1.14,276.323
10094,Kepler-1349,1,Transit,,,,5970,,276.323
10095,Kepler-1349,1,Transit,2.12822474,,,5835.47,1.05,276.323
10096,Kepler-1349,1,Transit,2.12823928,,,6086,1.16,276.323
10097,Kepler-1349,1,Transit,2.12823928,0.0338,,5998,1.14,276.323
10098,Kepler-1349,1,Transit,2.12823928,0.0338,,5998,1.14,276.323
10099,Kepler-135,2,Transit,6.00254829,,,5990.67,1.1,621.855
10100,Kepler-135,2,Transit,6.00253594,0.0686,,6388,1.19,621.855
10101,Kepler-135,2,Transit,,,,6014,,621.855
10102,Kepler-135,2,Transit,6.002551,0.068,,6337,1.14,621.855
10103,Kepler-135,2,Transit,6.00253766,,,5990.67,1.1,621.855
10104,Kepler-135,2,Transit,6.00254829,0.0697,,6204,1.26,621.855
10105,Kepler-135,2,Transit,6.00253,0.067,,6090,,621.855
10106,Kepler-135,2,Transit,6.00253594,0.0686,,6388,1.19,621.855
10107,Kepler-135,2,Transit,6.00253594,,,6251,1.25,621.855
10108,Kepler-135,2,Transit,6.00253594,0.0686,,6388,1.19,621.855
10109,Kepler-135,2,Transit,11.4485946,0.1054,,6388,1.19,621.855
10110,Kepler-135,2,Transit,11.4485946,0.1054,,6388,1.19,621.855
10111,Kepler-135,2,Transit,11.4485946,0.1054,,6388,1.19,621.855
10112,Kepler-135,2,Transit,11.44883,0.104,,6337,1.14,621.855
10113,Kepler-135,2,Transit,11.44865823,,,5990.67,1.1,621.855
10114,Kepler-135,2,Transit,11.44865823,0.1072,,6204,1.26,621.855
10115,Kepler-135,2,Transit,11.4485946,,,6251,1.25,621.855
10116,Kepler-135,2,Transit,,,,6014,,621.855
10117,Kepler-135,2,Transit,11.4485422,,,5990.67,1.1,621.855
10118,Kepler-135,2,Transit,11.448708,0.103,,6090,,621.855
10119,Kepler-1350,2,Transit,4.49683113,,,3786,0.53,340.691
10120,Kepler-1350,2,Transit,4.4968604,,,3827,0.55,340.691
10121,Kepler-1350,2,Transit,,,,3698,,340.691
10122,Kepler-1350,2,Transit,4.49685482,,,3786,0.53,340.691
10123,Kepler-1350,2,Transit,4.4968604,0.0413,,3698,0.47,340.691
10124,Kepler-1350,2,Transit,4.49686066,,,3786,0.53,340.691
10125,Kepler-1350,2,Transit,4.4968604,0.0413,,3698,0.47,340.691
10126,Kepler-1350,2,Transit,4.49686066,0.0413,,3698,0.46,340.691
10127,Kepler-1350,2,Transit,4.49685,0.042,,3831,0.5,340.691
10128,Kepler-1350,2,Transit,4.4968604,0.0413,,3698,0.47,340.691
10129,Kepler-1350,2,Transit,1.76678906,,,3827,0.55,340.691
10130,Kepler-1350,2,Transit,1.76678906,0.0222,,3698,0.47,340.691
10131,Kepler-1350,2,Transit,1.76678906,0.0222,,3698,0.47,340.691
10132,Kepler-1350,2,Transit,1.76678951,0.0222,,3698,0.46,340.691
10133,Kepler-1350,2,Transit,1.76678906,0.0222,,3698,0.47,340.691
10134,Kepler-1350,2,Transit,,,,3698,,340.691
10135,Kepler-1350,2,Transit,1.7667914,0.023,,3831,0.5,340.691
10136,Kepler-1350,2,Transit,1.76678951,,,3786,0.53,340.691
10137,Kepler-1350,2,Transit,1.7667971,,,3786,0.53,340.691
10138,Kepler-1351,1,Transit,0.916139,0.016,,4410,0.61,202.782
10139,Kepler-1351,1,Transit,,,,4365,,202.782
10140,Kepler-1351,1,Transit,0.91614077,,,4439,0.7,202.782
10141,Kepler-1351,1,Transit,0.91614077,0.0156,,4374,0.6,202.782
10142,Kepler-1351,1,Transit,0.9161423,0.0156,,4374,0.6,202.782
10143,Kepler-1351,1,Transit,0.91614077,0.0156,,4374,0.6,202.782
10144,Kepler-1351,1,Transit,0.9161423,,,4321.49,0.68,202.782
10145,Kepler-1351,1,Transit,0.91614181,,,4321.49,0.68,202.782
10146,Kepler-1351,1,Transit,0.91614077,0.0156,,4374,0.6,202.782
10147,Kepler-1352,1,Transit,1.87788275,0.03,,6324,1.02,670.829
10148,Kepler-1352,1,Transit,1.877872,0.031,,6333,1.14,670.829
10149,Kepler-1352,1,Transit,1.87788275,,,6118,1.11,670.829
10150,Kepler-1352,1,Transit,1.87788275,0.03,,6324,1.02,670.829
10151,Kepler-1352,1,Transit,1.87787854,,,5924.31,1.08,670.829
10152,Kepler-1352,1,Transit,1.87788275,0.03,,6324,1.02,670.829
10153,Kepler-1352,1,Transit,,,,5870,,670.829
10154,Kepler-1352,1,Transit,1.87787854,0.03,,6324,1.02,670.829
10155,Kepler-1352,1,Transit,1.87787772,,,5924.31,1.08,670.829
10156,Kepler-1353,1,Transit,24.7543849,,,4684,0.75,593.384
10157,Kepler-1353,1,Transit,24.7543966,0.153,,4852,0.78,593.384
10158,Kepler-1353,1,Transit,24.7543966,0.153,,4852,0.78,593.384
10159,Kepler-1353,1,Transit,24.75451053,,,4684,0.75,593.384
10160,Kepler-1353,1,Transit,24.75444429,,,4684,0.75,593.384
10161,Kepler-1353,1,Transit,24.7545,0.146,,4769,0.68,593.384
10162,Kepler-1353,1,Transit,24.7543849,0.153,,4852,0.78,593.384
10163,Kepler-1353,1,Transit,,,,4847,,593.384
10164,Kepler-1353,1,Transit,24.7543966,0.153,,4852,0.78,593.384
10165,Kepler-1353,1,Transit,24.7543966,,,4776,0.76,593.384
10166,Kepler-1354,1,Transit,76.61352894,,,5843.03,1.05,1119.45
10167,Kepler-1354,1,Transit,,,,6170,,1119.45
10168,Kepler-1354,1,Transit,76.6147,0.363,,6185,1.08,1119.45
10169,Kepler-1354,1,Transit,76.6139446,,,5843.03,1.05,1119.45
10170,Kepler-1354,1,Transit,76.613377,0.3522,,6170,0.99,1119.45
10171,Kepler-1354,1,Transit,76.613377,,,6168,1.16,1119.45
10172,Kepler-1354,1,Transit,76.613377,0.3522,,6170,0.99,1119.45
10173,Kepler-1354,1,Transit,76.613377,0.3522,,6170,0.99,1119.45
10174,Kepler-1354,1,Transit,76.6139446,0.3521,,6173,0.99,1119.45
10175,Kepler-1355,1,Transit,1.28958811,0.0224,,5471,0.9,911.269
10176,Kepler-1355,1,Transit,1.28959018,,,5255,0.9,911.269
10177,Kepler-1355,1,Transit,1.2895886,0.022,,5444,0.88,911.269
10178,Kepler-1355,1,Transit,1.28959621,,,5255,0.9,911.269
10179,Kepler-1355,1,Transit,,,,5475,,911.269
10180,Kepler-1355,1,Transit,1.28958811,0.0224,,5471,0.9,911.269
10181,Kepler-1355,1,Transit,1.28958811,0.0224,,5471,0.9,911.269
10182,Kepler-1355,1,Transit,1.28959018,0.0224,,5467,0.91,911.269
10183,Kepler-1355,1,Transit,1.28958811,,,5352,0.88,911.269
10184,Kepler-1356,1,Transit,0.63400172,,,4993,0.83,845.228
10185,Kepler-1356,1,Transit,,,,5228,,845.228
10186,Kepler-1356,1,Transit,0.63400294,,,5106,0.82,845.228
10187,Kepler-1356,1,Transit,0.63400294,0.0136,,5238,0.84,845.228
10188,Kepler-1356,1,Transit,0.634003,,,4993,0.83,845.228
10189,Kepler-1356,1,Transit,0.634003,0.0136,,5226,0.84,845.228
10190,Kepler-1356,1,Transit,0.63400294,0.0136,,5238,0.84,845.228
10191,Kepler-1356,1,Transit,0.63400294,0.0136,,5238,0.84,845.228
10192,Kepler-1356,1,Transit,0.6340034,0.014,,5034,0.88,845.228
10193,Kepler-1357,1,Transit,3.009121,0.041,,5900,1.01,1015.69
10194,Kepler-1357,1,Transit,,,,5708,,1015.69
10195,Kepler-1357,1,Transit,3.0091324,0.039,,5834,0.88,1015.69
10196,Kepler-1357,1,Transit,3.0091324,0.039,,5834,0.88,1015.69
10197,Kepler-1357,1,Transit,3.00910709,,,5608,0.99,1015.69
10198,Kepler-1357,1,Transit,3.0091324,0.039,,5834,0.88,1015.69
10199,Kepler-1357,1,Transit,3.00912491,,,5608,0.99,1015.69
10200,Kepler-1357,1,Transit,3.00912491,0.041,,5713,1.01,1015.69
10201,Kepler-1357,1,Transit,3.0091324,,,5597,0.93,1015.69
10202,Kepler-1358,1,Transit,7.06317341,0.0656,,5305,0.75,546.998
10203,Kepler-1358,1,Transit,7.06321927,,,5134,0.87,546.998
10204,Kepler-1358,1,Transit,7.06317341,,,5181,0.82,546.998
10205,Kepler-1358,1,Transit,7.063161,0.067,,5318,0.8,546.998
10206,Kepler-1358,1,Transit,7.06305749,,,5134,0.87,546.998
10207,Kepler-1358,1,Transit,7.06321927,0.0656,,5305,0.75,546.998
10208,Kepler-1358,1,Transit,7.06317341,0.0656,,5305,0.75,546.998
10209,Kepler-1358,1,Transit,,,,5297,,546.998
10210,Kepler-1358,1,Transit,7.06317341,0.0656,,5305,0.75,546.998
10211,Kepler-1359,1,Transit,59.4969009,0.2769,,4817,0.8,614.859
10212,Kepler-1359,1,Transit,59.4970952,0.2769,,4817,0.8,614.859
